Fecha,Año,Activo,Retorno_raw,Retorno_%,Decision,Mu_esperado,Sigma_incertidumbre,UCB_score
2018-02-09,2018,SLB,0.0167203985759598,1.67%,✅ buena,0.0493791453391121,0.1172860322953096,0.2839512099297315
2018-02-16,2018,BKR,0.0565397302265515,5.65%,✅ buena,0.1284608392049002,0.1679545965913862,0.4643700323876728
2018-02-23,2018,SLB,-0.0154885401771021,-1.55%,❌ mala,0.1426108758552853,0.1424859521409424,0.4275827801371701
2018-03-02,2018,SLB,0.050557287503594,5.06%,✅ buena,0.134862410411138,0.1444462229115878,0.4237548562343137
2018-03-09,2018,HAL,-0.022983980492152,-2.30%,❌ mala,0.1111622669811052,0.1249061865375246,0.3609746400561545
2018-03-16,2018,ADSK,-0.0569428782875806,-5.69%,❌ mala,0.1234184496055028,0.1795913683390137,0.4826011862835303
2018-03-23,2018,MU,-0.038184746583921,-3.82%,❌ mala,0.1528993428341589,0.1268372724868361,0.4065738878078311
2018-03-30,2018,WBD,0.0555296554881619,5.55%,✅ buena,0.1734279606307156,0.1237127351139862,0.4208534308586881
2018-04-06,2018,ADSK,0.0271968045244159,2.72%,✅ buena,0.2494465816979776,0.0998243759794571,0.4490953336568919
2018-04-13,2018,LRCX,-0.0580648324522233,-5.81%,❌ mala,0.3026385221388614,0.1484312559233455,0.5995010339855524
2018-04-20,2018,MU,-0.0612405754959379,-6.12%,❌ mala,0.2699341613345813,0.1257974831548848,0.521529127644351
2018-04-27,2018,MU,0.0012625123032214,0.13%,✅ buena,0.2676128141427787,0.1083415144198902,0.4842958429825593
2018-05-04,2018,MU,0.0891130926839336,8.91%,✅ buena,0.2673339010033819,0.1140150145327158,0.4953639300688137
2018-05-11,2018,MU,0.030297204802115,3.03%,✅ buena,0.2675216824451613,0.1017456775576925,0.4710130375605463
2018-05-18,2018,MU,0.1490917654750492,14.91%,✅ buena,0.2808648166475167,0.1036998820893238,0.4882645808261645
2018-05-25,2018,MTCH,0.0176863977437911,1.77%,✅ buena,0.2037476951513184,0.1103137012715225,0.4243750976943635
2018-06-01,2018,MTCH,-0.0248942272264129,-2.49%,❌ mala,0.2162474406753172,0.1064800337407095,0.4292075081567362
2018-06-08,2018,ON,0.0162698347221907,1.63%,✅ buena,0.1842768299234256,0.1038394679629155,0.3919557658492567
2018-06-15,2018,FSLR,0.0311398376385396,3.11%,✅ buena,0.2188244264741639,0.093067034052306,0.404958494578776
2018-06-22,2018,MU,-0.0816111754057374,-8.16%,❌ mala,0.2344508303953356,0.0922225516031001,0.4188959336015359
2018-06-29,2018,MU,0.0150647816926294,1.51%,✅ buena,0.2395957497768199,0.0954598137237989,0.4305153772244178
2018-07-06,2018,MU,0.0586135675882129,5.86%,✅ buena,0.2529644189934192,0.1086410862259174,0.4702465914452541
2018-07-13,2018,AXON,0.0890986994240308,8.91%,✅ buena,0.2725159557332461,0.0951373290485228,0.4627906138302919
2018-07-20,2018,MU,-0.0192656186468005,-1.93%,❌ mala,0.2832992084714369,0.0975792554538916,0.4784577193792203
2018-07-27,2018,MU,-0.0213121515056752,-2.13%,❌ mala,0.2588396521775189,0.0878120963425206,0.4344638448625602
2018-08-03,2018,AXON,-0.1102908600533317,-11.03%,❌ mala,0.2375556187338705,0.0876829998815224,0.4129216184969155
2018-08-10,2018,MU,-0.0829276854009821,-8.29%,❌ mala,0.2309150274924687,0.0876631964789926,0.4062414204504541
2018-08-17,2018,ON,0.0393701356507869,3.94%,✅ buena,0.2175307406535613,0.0952506703713976,0.4080320813963567
2018-08-24,2018,MU,0.0358975130121428,3.59%,✅ buena,0.2327189465043746,0.0988587545729526,0.4304364556502799
2018-08-31,2018,DXCM,-0.0062336135533721,-0.62%,❌ mala,0.2134865661142566,0.1068305588620835,0.4271476838384237
2018-09-07,2018,DXCM,-0.0031363044441171,-0.31%,❌ mala,0.2615739716143781,0.0860872703675195,0.4337485123494171
2018-09-14,2018,MU,0.0099321783462291,0.99%,✅ buena,0.1309526327397057,0.0930785828264264,0.3171097983925586
2018-09-21,2018,MU,0.0109521862863517,1.10%,✅ buena,0.1409523656743134,0.0910088288983632,0.32297002347104
